transaction_id,timestamp,store_id,city,country,store_type,product_category,product_name,unit_price,quantity,discount_applied,payment_method,customer_id,customer_age_group,customer_gender,loyalty_member,weather_condition,temperature_c,holiday_name,total_amount
10001,2023-01-01 00:39:39,35,Melbourne,AUS,Mall Kiosk,Coffee,Double Espresso,3.04,1,True,Credit Card,qiyfrwsk,35-44,Female,False,Sunny,22.2,New Year's Day,2.74
10002,2023-01-01 01:06:53,25,Manchester,UK,Standalone,Coffee,Single Espresso,2.38,2,False,Debit Card,vf0jqqnv,18-24,Male,False,Sunny,8.7,New Year's Day,4.76
10003,2023-01-01 02:56:18,23,Manchester,UK,Standalone,Tea,Large Matcha Latte,4.26,2,False,Mobile Wallet,fcd6mzsg,25-34,Male,False,Sunny,8.7,New Year's Day,8.52
10004,2023-01-01 02:58:30,38,Toronto,CAN,Standalone,Coffee,Medium Cappuccino,3.68,2,False,Credit Card,jvu2cgxu,55-64,Female,True,Cloudy,-6.5,New Year's Day,7.36
10005,2023-01-01 03:13:53,9,Los Angeles,USA,Mall Kiosk,Coffee,Small Cappuccino,3.42,1,False,Mobile Wallet,po4ljedg,18-24,Male,True,Sunny,12.3,New Year's Day,3.42
10006,2023-01-01 03:23:03,42,Vancouver,CAN,Standalone,Tea,Large Green Tea,3.01,1,False,Cash,2eclces1,25-34,Female,False,Sunny,2.8,New Year's Day,3.01
10007,2023-01-01 03:42:51,12,Chicago,USA,Airport,Tea,Medium Earl Grey,3.32,1,False,Cash,4es3aofc,65+,Male,True,Sunny,-4.7,New Year's Day,3.32
10008,2023-01-01 04:04:29,21,Manchester,UK,Standalone,Coffee,Large Cappuccino,3.77,2,False,Credit Card,c8nog85d,55-64,,False,Sunny,8.7,New Year's Day,7.54
10009,2023-01-01 04:26:29,27,Sydney,AUS,Standalone,Tea,Large Matcha Latte,5.72,1,False,Credit Card,pceo934t,,Female,False,Cloudy,16.6,New Year's Day,5.72
10010,2023-01-01 05:41:05,7,Los Angeles,USA,Standalone,Coffee,Large Cappuccino,4.51,2,False,Cash,idbx287g,35-44,Female,False,Sunny,12.3,New Year's Day,9.02
10011,2023-01-01 06:02:19,40,Toronto,CAN,Standalone,Sandwich,Ham & Cheese Croissant,5.06,1,False,Credit Card,yj38xrg2,25-34,Female,False,Cloudy,-6.5,New Year's Day,5.06
10012,2023-01-01 06:16:26,1,New York,USA,Standalone,Coffee,Small Mocha,4.05,1,True,Credit Card,g4gks6r6,18-24,Male,False,Sunny,-1.1,New Year's Day,3.64
10013,2023-01-01 06:28:48,20,London,UK,Standalone,Sandwich,Ham & Cheese Croissant,4.67,2,False,Credit Card,gnzs43c5,18-24,Male,False,,,New Year's Day,9.34
10014,2023-01-01 06:31:28,28,Sydney,AUS,Mall Kiosk,Coffee,Large Mocha,5.55,2,False,Cash,k2vmwwyz,45-54,Female,False,Cloudy,16.6,New Year's Day,11.1
10015,2023-01-01 06:47:03,5,New York,USA,Standalone,Smoothie,Medium Berry Blast,5.5,1,False,Cash,xlpu0dk0,25-34,Male,False,Sunny,-1.1,New Year's Day,5.5
10016,2023-01-01 06:49:30,6,Los Angeles,USA,Standalone,Coffee,Medium Latte,3.92,1,False,Credit Card,5zjaucyh,25-34,Male,True,Sunny,12.3,New Year's Day,3.92
10017,2023-01-01 06:55:48,30,Sydney,AUS,Standalone,Coffee,Medium Latte,4.4,1,False,Mobile Wallet,g3fye4hq,25-34,Male,False,Cloudy,16.6,New Year's Day,4.4
10018,2023-01-01 06:57:09,43,Vancouver,CAN,Standalone,Pastry,Blueberry Muffin,2.82,1,False,Debit Card,p35t54gy,25-34,Male,False,Sunny,2.8,New Year's Day,2.82
10019,2023-01-01 07:05:57,27,Sydney,AUS,Standalone,Coffee,Double Espresso,3.19,1,False,Credit Card,4ldimsyj,65+,Male,False,Cloudy,16.6,New Year's Day,3.19
10020,2023-01-01 07:08:02,1,New York,USA,Standalone,Tea,Small Earl Grey,2.5,1,False,Cash,0cv3tlcx,25-34,,False,Sunny,-1.1,New Year's Day,2.5
10021,2023-01-01 07:17:45,4,New York,USA,Mall Kiosk,Sandwich,Ham & Cheese Croissant,5.33,1,False,Cash,96mj9n6e,35-44,Female,False,Sunny,-1.1,New Year's Day,5.33
10022,2023-01-01 07:23:03,18,London,UK,Mall Kiosk,Tea,Small Green Tea,2.06,1,False,Credit Card,wgi8y042,55-64,Male,False,Sunny,5.2,New Year's Day,2.06
10023,2023-01-01 07:26:58,18,London,UK,Mall Kiosk,Sandwich,Vegan Falafel Wrap,4.95,2,False,Mobile Wallet,e9vifttd,65+,Female,False,Sunny,5.2,New Year's Day,9.9
10024,2023-01-01 07:47:51,17,London,UK,Standalone,Merchandise,Tote Bag,12.75,2,False,Credit Card,x7n89lta,25-34,Female,False,Sunny,5.2,New Year's Day,25.5
10025,2023-01-01 07:48:37,43,Vancouver,CAN,Standalone,Coffee,Large Mocha,4.89,4,True,Debit Card,c2rh2xk2,35-44,Female,True,Sunny,2.8,New Year's Day,17.6
10026,2023-01-01 07:53:16,11,Chicago,USA,Standalone,Coffee,Large Cappuccino,4.37,4,False,Cash,jd2v1l1v,25-34,Female,False,Sunny,-4.7,New Year's Day,17.48
10027,2023-01-01 07:56:46,9,Los Angeles,USA,Mall Kiosk,Coffee,Medium Latte,3.8,3,False,Credit Card,0m3loufh,45-54,Female,False,Sunny,12.3,New Year's Day,11.4
10028,2023-01-01 08:00:14,19,London,UK,Standalone,Coffee,Medium Cappuccino,3.4,2,False,Credit Card,wc0bogwh,35-44,Male,False,Sunny,5.2,New Year's Day,6.8
10029,2023-01-01 08:01:14,24,Manchester,UK,Standalone,Coffee,Small Mocha,3.32,4,True,Mobile Wallet,qpgb7r3o,18-24,Female,True,,,New Year's Day,11.95
10030,2023-01-01 08:08:01,34,Melbourne,AUS,Mall Kiosk,Coffee,Large Mocha,5.45,1,False,Cash,2xcb3yym,,Female,False,Sunny,22.2,New Year's Day,5.45
10031,2023-01-01 08:08:18,15,Chicago,USA,Standalone,Coffee,Medium Mocha,4.27,1,False,Cash,f8s2zge2,25-34,Female,False,Sunny,-4.7,New Year's Day,4.27
10032,2023-01-01 08:17:24,4,New York,USA,Mall Kiosk,Coffee,Large Cappuccino,4.46,1,True,Cash,tsujt70y,55-64,Female,True,Sunny,-1.1,New Year's Day,4.01
10033,2023-01-01 08:21:11,31,Melbourne,AUS,Standalone,Tea,Medium Green Tea,3.02,1,True,Debit Card,j4xybrxf,45-54,Female,True,Sunny,22.2,New Year's Day,2.72
10034,2023-01-01 08:29:45,7,Los Angeles,USA,Standalone,Pastry,Croissant,2.45,1,False,Cash,5vlwojtx,,Male,False,Sunny,12.3,New Year's Day,2.45
10035,2023-01-01 08:34:50,17,London,UK,Standalone,Sandwich,Vegan Falafel Wrap,5.1,1,False,Cash,vbjrbzjw,65+,Female,False,Sunny,5.2,New Year's Day,5.1
10036,2023-01-01 08:37:51,26,Sydney,AUS,Mall Kiosk,Coffee,Single Espresso,3.09,1,False,Credit Card,dx5o31yh,45-54,Female,False,Cloudy,16.6,New Year's Day,3.09
10037,2023-01-01 08:50:29,5,New York,USA,Standalone,Sandwich,Ham & Cheese Croissant,5.5,2,False,Credit Card,nkbtfshb,45-54,Male,False,Sunny,-1.1,New Year's Day,11.0
10038,2023-01-01 08:58:50,25,Manchester,UK,Standalone,Tea,Small Earl Grey,2.05,1,False,Mobile Wallet,jjy4mzvm,18-24,Male,False,Sunny,8.7,New Year's Day,2.05
10039,2023-01-01 09:21:46,12,Chicago,USA,Airport,Tea,Large Earl Grey,3.8,1,False,Debit Card,0imjyjcm,35-44,Female,True,Sunny,-4.7,New Year's Day,3.8
10040,2023-01-01 09:23:59,5,New York,USA,Standalone,Coffee,Large Latte,4.6,1,False,Credit Card,yjoaoejv,65+,Male,True,Sunny,-1.1,New Year's Day,4.6
10041,2023-01-01 09:27:25,7,Los Angeles,USA,Standalone,Coffee,Medium Cappuccino,3.92,3,False,Mobile Wallet,p1o8m291,18-24,Female,False,Sunny,12.3,New Year's Day,11.76
10042,2023-01-01 09:37:35,38,Toronto,CAN,Standalone,Pastry,Scone,2.02,4,False,Mobile Wallet,3dzxlrgn,25-34,Female,False,Cloudy,-6.5,New Year's Day,8.08
10043,2023-01-01 09:50:53,43,Vancouver,CAN,Standalone,Coffee,Large Americano,3.24,2,False,Credit Card,zg85s9as,25-34,,False,Sunny,2.8,New Year's Day,6.48
