Census year,Block ID,CLUE small area,Seating type,Number of seats,Longitude,Latitude
2011,270,Parkville,Seats - Outdoor,30,144.9612468,-37.79739811
2024,919,Parkville,Seats - Outdoor,15,144.9565784,-37.80009421
2020,239,Carlton,Seats - Outdoor,12,144.9583287,-37.80169537
2007,606,East Melbourne,Seats - Indoor,35,144.9881936,-37.81575893
2002,1006,West Melbourne (Industrial),Seats - Indoor,51,144.9235907,-37.80665899
2005,424,West Melbourne (Residential),Seats - Indoor,25,144.9513759,-37.80563093
2014,245,Carlton,Seats - Indoor,150,144.9642366,-37.80062759
2002,104,Melbourne (CBD),Seats - Indoor,40,144.959163,-37.80896134
2021,804,Southbank,Seats - Outdoor,40,144.9523782,-37.82539976
2015,773,Docklands,Seats - Indoor,80,144.9439451,-37.82459352
2011,216,Carlton,Seats - Indoor,12,144.969295,-37.79757961
2010,2524,Kensington,Seats - Outdoor,10,144.9300585,-37.79405204
2017,570,Kensington,Seats - Indoor,100,144.9127653,-37.78908157
2004,915,Parkville,Seats - Outdoor,25,144.9575608,-37.79539794
2010,1006,West Melbourne (Industrial),Seats - Indoor,68,144.9232746,-37.80663942
2010,1101,Docklands,Seats - Outdoor,40,144.9511871,-37.81501712
2018,852,Melbourne (Remainder),Seats - Indoor,48,144.975496,-37.82969777
2017,1110,Docklands,Seats - Indoor,64,144.9377903,-37.81310722
2005,430,West Melbourne (Residential),Seats - Indoor,35,144.9487991,-37.80897288
2017,333,North Melbourne,Seats - Indoor,26,144.9475392,-37.80257072
2008,802,Southbank,Seats - Indoor,24,144.9629727,-37.82289124
2022,42,Melbourne (CBD),Seats - Outdoor,15,144.9578132,-37.81636534
2021,35,Melbourne (CBD),Seats - Indoor,5,144.9657774,-37.81507697
2012,620,East Melbourne,Seats - Outdoor,4,144.9819236,-37.80961024
2002,83,Melbourne (CBD),Seats - Outdoor,28,144.9586696,-37.8114522
2020,621,East Melbourne,Seats - Indoor,46,144.9787048,-37.80963919
2017,852,Melbourne (Remainder),Seats - Outdoor,207,144.975496,-37.82969777
2017,644,East Melbourne,Seats - Outdoor,80,144.9742765,-37.80855929
2016,83,Melbourne (CBD),Seats - Indoor,80,144.9586696,-37.8114522
2013,613,East Melbourne,Seats - Indoor,50,144.9856254,-37.81004657
2016,85,Melbourne (CBD),Seats - Indoor,4,144.9630284,-37.81073468
2022,327,North Melbourne,Seats - Indoor,16,144.9465069,-37.798728
2006,340,North Melbourne,Seats - Indoor,20,144.9431066,-37.80339871
2013,226,Carlton,Seats - Indoor,75,144.9711498,-37.7953809
2005,66,Melbourne (CBD),Seats - Outdoor,40,144.9653993,-37.81176302
2014,101,West Melbourne (Residential),Seats - Indoor,43,144.9511755,-37.81189101
2023,12,Melbourne (CBD),Seats - Outdoor,12,144.9582721,-37.81974184
2020,1108,Docklands,Seats - Outdoor,4,144.9458305,-37.821044
2009,67,Melbourne (CBD),Seats - Indoor,50,144.9690111,-37.81056538
2007,97,Melbourne (CBD),Seats - Outdoor,15,144.966467,-37.80822514
